new_method_p_layer_circuit_384,new_method_censored_circuit_384
71.5555555555556,71.3925925925926
71.68888888888891,74.72592592592594
71.52592592592588,75.79259259259258
68.16296296296298,72.62222222222228
74.35555555555551,67.60000000000002
67.00740740740747,71.92592592592588
69.27407407407406,67.85185185185183
74.6666666666667,65.0962962962963
70.04444444444444,65.92592592592594
68.84444444444442,59.86666666666667
62.65185185185187,66.72592592592595
59.303703703703704,68.54814814814816
64.42962962962969,68.13333333333335
61.19999999999997,63.362962962962975
62.696296296296296,63.71851851851857
60.42962962962966,63.11111111111114
63.05185185185187,63.037037037037024
55.95555555555551,67.1111111111111
66.13333333333327,62.96296296296293
61.12592592592594,64.41481481481482
57.85185185185189,68.84444444444443
58.192592592592554,68.53333333333332
57.45185185185184,70.0148148148148
55.89629629629631,66.81481481481481
59.37777777777773,54.11851851851854
52.25185185185186,67.68888888888888
54.9037037037037,61.85185185185185
58.08888888888888,59.21481481481479
54.48888888888887,58.014814814814876
50.29629629629628,59.48148148148154
48.08888888888887,61.64444444444439
48.429629629629666,58.725925925925935
48.14814814814816,55.79259259259259
45.88148148148146,61.70370370370366
52.755555555555574,56.74074074074073
42.355555555555526,54.414814814814875
47.12592592592595,54.51851851851855
44.19259259259258,57.02222222222224
48.622222222222234,52.5185185185185
46.6518518518519,57.17037037037041
45.86666666666665,58.77037037037043
48.93333333333341,50.40000000000005
42.96296296296291,54.57777777777775
44.16296296296298,56.37037037037032
46.296296296296276,52.488888888888916
41.70370370370369,51.5703703703704
41.57037037037033,51.76296296296299
44.370370370370324,52.162962962962986
45.8666666666667,54.05925925925927
40.385185185185165,48.53333333333338
46.80000000000002,54.859259259259254
40.90370370370366,52.17777777777779
35.61481481481486,50.69629629629628
46.00000000000002,54.074074074074055
42.770370370370394,45.58518518518522
43.98518518518517,51.1851851851852
43.57037037037035,50.96296296296299
40.948148148148135,51.28888888888896
46.65185185185186,50.1185185185185
43.28888888888889,46.548148148148115
38.23703703703709,50.91851851851854
40.02962962962964,50.85925925925927
35.111111111111136,47.274074074074
41.985185185185216,54.533333333333346
44.10370370370369,52.148148148148145
44.19259259259258,48.918518518518496
39.57037037037039,46.60740740740741
39.61481481481486,45.451851851851835
42.16296296296296,44.622222222222206
40.829629629629615,45.06666666666672
46.503703703703735,45.45185185185181
43.37777777777778,48.65185185185188
39.85185185185185,47.40740740740739
37.54074074074079,42.23703703703707
40.50370370370371,46.6814814814815
36.94814814814815,42.13333333333333
38.400000000000034,46.26666666666664
42.65185185185187,49.82222222222228
36.770370370370365,45.74814814814818
36.94814814814813,41.866666666666674
40.34074074074072,44.325925925925944
29.7037037037037,47.777777777777786
27.303703703703718,46.444444444444514
25.318518518518516,43.70370370370373
22.07407407407409,42.75555555555557
20.296296296296322,49.659259259259294
22.32592592592595,38.977777777777774
17.629629629629683,49.9703703703704
19.8962962962963,46.94814814814823
17.4814814814815,43.11111111111112
14.962962962962978,47.140740740740775
14.651851851851871,45.05185185185188
15.333333333333377,42.40000000000001
15.466666666666672,42.26666666666667
14.592592592592624,43.599999999999994
16.933333333333355,45.60000000000004
13.362962962962976,43.06666666666668
13.600000000000012,45.851851851851876
13.422222222222224,44.888888888888914
14.000000000000012,42.400000000000034
13.614814814814814,41.89629629629632
13.362962962962976,41.0814814814815
13.377777777777776,40.725925925925964
14.281481481481496,40.400000000000034
15.066666666666674,42.13333333333331
14.82962962962966,42.459259259259284
14.666666666666694,36.60740740740742
13.303703703703684,40.962962962962976
13.125925925925896,37.02222222222225
13.0074074074074,35.274074074074036
13.125925925925896,39.68888888888888
14.207407407407402,37.46666666666667
13.362962962962976,32.23703703703702
14.281481481481496,29.170370370370357
13.362962962962976,27.748148148148143
13.125925925925896,31.02222222222222
13.303703703703684,24.00000000000002
13.244444444444436,25.659259259259247
12.888888888888882,19.807407407407386
13.718518518518529,18.23703703703705
13.0074074074074,15.940740740740766
12.829629629629636,14.814814814814813
14.325925925925898,14.10370370370373
13.837037037037048,13.703703703703706
13.185185185185189,13.407407407407423
12.888888888888882,14.977777777777778
12.829629629629636,14.118518518518531
12.829629629629636,12.666666666666671
12.829629629629636,13.185185185185189
12.87407407407406,12.74074074074074
12.65185185185187,12.518518518518507
12.814814814814813,12.518518518518507
12.948148148148132,12.592592592592599
12.829629629629636,12.296296296296294
12.770370370370387,12.444444444444436
13.0074074074074,13.555555555555543
12.65185185185187,12.370370370370365
12.65185185185187,14.162962962962954
12.592592592592599,13.511111111111095
12.65185185185187,12.296296296296294
12.711111111111117,12.296296296296294
12.711111111111117,12.148148148148152
12.65185185185187,12.296296296296294
13.688888888888906,12.148148148148152
12.829629629629636,12.148148148148152
12.770370370370387,12.222222222222223
12.711111111111117,12.666666666666671
12.711111111111117,12.00000000000001
12.65185185185187,12.222222222222223
12.829629629629636,12.78518518518521
12.888888888888882,12.074074074074082
15.007407407407424,13.807407407407402
13.422222222222224,12.740740740740764
12.65185185185187,12.148148148148152
12.770370370370387,12.222222222222223
12.65185185185187,13.155555555555566
12.65185185185187,12.00000000000001
12.592592592592599,12.222222222222223
12.770370370370387,13.25925925925926
13.807407407407402,12.074074074074082
12.592592592592599,11.925925925925917
12.65185185185187,11.925925925925917
12.592592592592599,14.488888888888907
12.592592592592599,13.185185185185166
12.65185185185187,11.851851851851848
12.592592592592599,11.851851851851848
12.592592592592599,11.925925925925917
12.592592592592599,11.925925925925917
13.25925925925926,11.925925925925917
12.592592592592599,11.762962962962952
12.592592592592599,13.718518518518508
12.65185185185187,11.925925925925917
12.65185185185187,11.851851851851848
12.65185185185187,11.925925925925917
12.65185185185187,12.71111111111114
12.592592592592599,12.296296296296294
12.592592592592599,11.925925925925917
12.592592592592599,12.00000000000001
12.65185185185187,11.851851851851848
12.592592592592599,11.851851851851848
12.592592592592599,11.925925925925917
12.592592592592599,12.00000000000001
12.65185185185187,12.71111111111114
13.362962962962976,11.851851851851848
12.592592592592599,11.851851851851848
12.592592592592599,11.851851851851848
12.592592592592599,11.851851851851848
12.592592592592599,11.851851851851848
12.592592592592599,11.851851851851848
12.592592592592599,11.837037037037046
12.592592592592599,11.851851851851848
12.592592592592599,11.762962962962952
12.592592592592599,11.851851851851848
12.592592592592599,11.762962962962952
13.911111111111119,13.170370370370366
12.592592592592599,13.629629629629637
12.85925925925926,13.0074074074074
12.592592592592599,11.851851851851848
12.592592592592599,11.925925925925917
12.65185185185187,11.851851851851848
