Notations cycliques des matrices de transition simples
Matrice de transition simple 1,"(5,6)"
Matrice de transition simple 2,"(5,7)"
Matrice de transition simple 3,"(5,8)"
Matrice de transition simple 4,"(4,6)"
Matrice de transition simple 5,"(5,7)"
Matrice de transition simple 6,"(5,8)"
Matrice de transition simple 7,"(4,8)"
Matrice de transition simple 8,"(5,7)"
Matrice de transition simple 9,"(4,7)"
Matrice de transition simple 10,"(3,6)"
Matrice de transition simple 11,"(5,8)"
Matrice de transition simple 12,"(4,7)"
Matrice de transition simple 13,"(4,8)"
Matrice de transition simple 14,"(5,8)"
Matrice de transition simple 15,"(4,7)"
Matrice de transition simple 16,"(3,8)"
Matrice de transition simple 17,"(4,7)"
Matrice de transition simple 18,"(5,7)"
Matrice de transition simple 19,"(3,7)"
Matrice de transition simple 20,"(2,6)"
Matrice de transition simple 21,"(4,8)"
Matrice de transition simple 22,"(5,7)"
Matrice de transition simple 23,"(3,7)"
Matrice de transition simple 24,"(3,8)"
Matrice de transition simple 25,"(5,7)"
Matrice de transition simple 26,"(5,8)"
Matrice de transition simple 27,"(4,7)"
Matrice de transition simple 28,"(3,8)"
Matrice de transition simple 29,"(5,8)"
Matrice de transition simple 30,"(2,7)"
Matrice de transition simple 31,"(5,8)"
Matrice de transition simple 32,"(3,8)"
Matrice de transition simple 33,"(4,8)"
Matrice de transition simple 34,"(2,8)"
Matrice de transition simple 35,"(1,6)"
Matrice de transition simple 36,"(3,7)"
Matrice de transition simple 37,"(5,8)"
Matrice de transition simple 38,"(4,8)"
Matrice de transition simple 39,"(4,7)"
Matrice de transition simple 40,"(2,8)"
Matrice de transition simple 41,"(4,7)"
Matrice de transition simple 42,"(2,7)"
Matrice de transition simple 43,"(5,8)"
Matrice de transition simple 44,"(4,7)"
Matrice de transition simple 45,"(5,7)"
Matrice de transition simple 46,"(3,8)"
Matrice de transition simple 47,"(2,7)"
Matrice de transition simple 48,"(5,7)"
Matrice de transition simple 49,"(4,7)"
Matrice de transition simple 50,"(1,8)"
Matrice de transition simple 51,"(5,7)"
Matrice de transition simple 52,"(4,7)"
Matrice de transition simple 53,"(2,7)"
Matrice de transition simple 54,"(3,7)"
Matrice de transition simple 55,"(1,7)"
