Notations cycliques des matrices de transition simples
Matrice de transition simple 1,"(2,3)"
Matrice de transition simple 2,"(1,2)"
Matrice de transition simple 3,"(2,3)"
Matrice de transition simple 4,"(1,2)"
Matrice de transition simple 5,"(2,3)"
Matrice de transition simple 6,"(3,4)"
Matrice de transition simple 7,"(2,3)"
Matrice de transition simple 8,"(4,5)"
Matrice de transition simple 9,"(2,3)"
Matrice de transition simple 10,"(1,2)"
Matrice de transition simple 11,"(2,3)"
Matrice de transition simple 12,"(3,4)"
Matrice de transition simple 13,"(2,3)"
Matrice de transition simple 14,"(4,5)"
Matrice de transition simple 15,"(2,3)"
Matrice de transition simple 16,"(1,2)"
Matrice de transition simple 17,"(2,3)"
Matrice de transition simple 18,"(3,4)"
Matrice de transition simple 19,"(2,3)"
Matrice de transition simple 20,"(4,5)"
Matrice de transition simple 21,"(2,3)"
Matrice de transition simple 22,"(1,2)"
Matrice de transition simple 23,"(2,3)"
Matrice de transition simple 24,"(3,4)"
Matrice de transition simple 25,"(2,3)"
Matrice de transition simple 26,"(1,2)"
Matrice de transition simple 27,"(2,3)"
Matrice de transition simple 28,"(1,2)"
Matrice de transition simple 29,"(2,3)"
Matrice de transition simple 30,"(3,4)"
Matrice de transition simple 31,"(2,3)"
Matrice de transition simple 32,"(4,5)"
Matrice de transition simple 33,"(2,3)"
Matrice de transition simple 34,"(1,2)"
Matrice de transition simple 35,"(2,3)"
Matrice de transition simple 36,"(3,4)"
Matrice de transition simple 37,"(2,3)"
Matrice de transition simple 38,"(4,5)"
Matrice de transition simple 39,"(2,3)"
Matrice de transition simple 40,"(1,2)"
Matrice de transition simple 41,"(2,3)"
Matrice de transition simple 42,"(3,4)"
Matrice de transition simple 43,"(2,3)"
Matrice de transition simple 44,"(3,4)"
Matrice de transition simple 45,"(2,3)"
Matrice de transition simple 46,"(1,2)"
Matrice de transition simple 47,"(2,3)"
Matrice de transition simple 48,"(3,4)"
Matrice de transition simple 49,"(2,3)"
Matrice de transition simple 50,"(4,5)"
Matrice de transition simple 51,"(2,3)"
Matrice de transition simple 52,"(1,2)"
Matrice de transition simple 53,"(2,3)"
Matrice de transition simple 54,"(3,4)"
Matrice de transition simple 55,"(2,3)"
Matrice de transition simple 56,"(3,4)"
Matrice de transition simple 57,"(2,3)"
Matrice de transition simple 58,"(1,2)"
Matrice de transition simple 59,"(2,3)"
Matrice de transition simple 60,"(3,4)"
Matrice de transition simple 61,"(2,3)"
Matrice de transition simple 62,"(4,5)"
Matrice de transition simple 63,"(2,3)"
Matrice de transition simple 64,"(1,2)"
Matrice de transition simple 65,"(2,3)"
Matrice de transition simple 66,"(1,2)"
Matrice de transition simple 67,"(2,3)"
Matrice de transition simple 68,"(4,5)"
Matrice de transition simple 69,"(2,3)"
Matrice de transition simple 70,"(1,2)"
Matrice de transition simple 71,"(2,3)"
Matrice de transition simple 72,"(3,4)"
Matrice de transition simple 73,"(2,3)"
Matrice de transition simple 74,"(3,4)"
Matrice de transition simple 75,"(2,3)"
Matrice de transition simple 76,"(1,2)"
Matrice de transition simple 77,"(2,3)"
Matrice de transition simple 78,"(3,4)"
Matrice de transition simple 79,"(2,3)"
Matrice de transition simple 80,"(4,5)"
Matrice de transition simple 81,"(2,3)"
Matrice de transition simple 82,"(1,2)"
Matrice de transition simple 83,"(2,3)"
Matrice de transition simple 84,"(3,4)"
Matrice de transition simple 85,"(2,3)"
Matrice de transition simple 86,"(4,5)"
Matrice de transition simple 87,"(2,3)"
Matrice de transition simple 88,"(1,2)"
