"new_method_p_layer_circuit_384","new_method_censored_circuit_384","old_gray_trotter_method","instance"
8.5921052631579,11.3947368421053,0.157894736842112,"instance_1"
0.639999999999996,27.456,1.56799999999999,"instance_10"
5.38461538461539,11.4153846153846,3.15384615384615,"instance_11"
3.70642201834861,0.293577981651372,1.83486238532109,"instance_12"
19.5428571428572,15,10.0571428571429,"instance_13"
0,28.7777777777778,0,"instance_14"
0.763358778625944,15.9847328244275,1.22137404580152,"instance_15"
1.23456790123457,1.60493827160495,0.543209876543216,"instance_16"
3.04761904761905,16.6666666666667,0,"instance_17"
0.835443037974692,5.69620253164558,29.4050632911393,"instance_18"
0,22.972972972973,7.1756756756757,"instance_19"
4.82539682539684,7.20634920634919,6.73015873015872,"instance_2"
0.333333333333341,1.03333333333333,5,"instance_20"
9.30985915492957,9.88732394366196,2.11267605633803,"instance_21"
4.76190476190477,0,1.58730158730158,"instance_22"
21.2328767123288,28.027397260274,0,"instance_23"
0.763358778625944,0.763358778625944,0.839694656488543,"instance_24"
9.66153846153846,16.0307692307692,4.61538461538462,"instance_25"
5.48101265822785,19.4303797468355,9.06329113924049,"instance_26"
0,19.6428571428571,1.42857142857142,"instance_27"
28.6885245901639,24.2622950819672,0.0983606557376948,"instance_28"
12.6944444444444,8.33333333333333,0,"instance_29"
1.03092783505156,7.21649484536082,11.340206185567,"instance_3"
1.08965517241377,27.5862068965517,15.1724137931035,"instance_30"
5.6,0,3.2,"instance_31"
7.57575757575757,11,13.439393939394,"instance_32"
0,27.1317829457364,0,"instance_33"
0.981818181818173,35.4545454545455,24.8,"instance_34"
17.8095238095238,19.8730158730159,0,"instance_35"
20.1492537313433,4.4776119402985,0,"instance_36"
2.56410256410255,16.6666666666667,2.56410256410255,"instance_37"
0.78125,15.625,4.6875,"instance_38"
21.9496855345912,0,7.61006289308175,"instance_39"
2.56410256410255,10.4487179487179,0,"instance_4"
0,19.4714285714286,13.6857142857143,"instance_40"
4.36986301369864,0,6.82191780821917,"instance_41"
0.112149532710282,4.28037383177571,1.02803738317758,"instance_42"
5.77181208053692,4.02684563758389,0,"instance_43"
0,7.63358778625953,13.7404580152672,"instance_5"
5.65925925925927,12.5925925925926,12.7259259259259,"instance_6"
8.45070422535212,0,4.22535211267605,"instance_7"
0,16.4107142857143,1.78571428571428,"instance_8"
0,4.42477876106195,17.6991150442478,"instance_9"
