new_method_p_layer_circuit_384,new_method_censored_circuit_384,old_gray_trotter_method
57.18494416244165,58.23718324310088,59.46162606139275
57.42031348290972,56.72108906111239,58.343800019904606
56.90633629037461,57.93668939213635,59.13466265041343
57.22587199891804,56.93714620665588,58.44751155705977
56.82961260309854,56.62694835249014,57.72714574433407
56.5028279414385,56.55292534863249,57.787505030210504
55.793676040205696,56.29206710149615,58.32086343562317
55.459082424726965,55.963522341981005,58.511634593683596
55.43430109455079,56.90467834212426,58.35864086973864
54.08530315285342,55.8570151662228,58.68106784373904
54.89211740987754,55.283407771511335,57.590039161870564
53.73594527293794,54.99370236523098,57.577277326921674
53.36517912960446,53.91492697880559,58.27874770075708
52.192499802325685,54.18971826090577,58.052585138406656
51.63447932445634,54.059512836823444,57.58827541806464
51.26692058351581,53.54898431649398,57.36546143980843
50.767396978871375,52.91124515905841,57.045204840834046
49.94259080155511,52.609768485704684,56.78564776124065
49.53370354366579,51.91024011471701,57.40493831040932
47.2991758391492,51.29304024122125,56.95390272951189
47.94123372292268,50.75125611105743,56.92854109156802
46.242238115206625,51.04474904325475,57.4584903737878
45.99710721881033,50.72742456631891,57.4041125818287
45.21467423133794,50.162295994370794,56.888820519787075
44.763674580572726,49.380202522017434,57.225342610812184
44.26787594790538,48.68096629134735,56.51050182435522
43.47842300390068,48.39727515831845,57.0758978330103
42.323689179491225,47.25243991233188,56.62423989762298
41.753082234205294,46.948661557406126,56.368258715567876
40.80029334726949,46.994173392370385,56.13001714105072
40.09397220850963,46.99643914641586,56.71274882497046
39.77957640833404,46.06089099489907,56.85068890080231
40.2102402055781,46.017044955412686,56.092064477341545
39.56394529445352,45.07075981811796,55.90440453076932
38.09572667142435,44.394178210323034,55.288055501891336
38.32617336674776,44.22627456555805,55.36478401981772
38.19715663440464,44.008719664188774,55.09247316660009
37.036070763894806,43.16639472904726,55.313023407149515
36.66513110438167,43.11616767794821,54.96858916332284
36.15602818498773,41.39726492842397,54.88063936880432
35.73250888388799,42.54535225465488,55.77734351989394
35.44232368195631,41.509151794097,55.014866505994554
34.80052605509225,40.84413355885177,54.07343704543896
34.56476649304157,41.15409187459949,53.517903429245585
34.55110715007403,40.41932624580899,54.566392643096535
33.873299003862385,39.97044087962108,54.09423362494449
32.9431272321156,39.190753665617265,53.79008843956143
32.7992088738559,39.35750891748591,52.983361104067356
32.677440340861345,39.27880560058277,53.52443352690233
32.999447040917104,38.87199534886103,52.82895557497086
32.075406458237964,39.294425794712126,52.97776846958948
31.43374760317031,38.20265733317879,52.917235726593766
31.0150751938179,38.613067423376336,51.44195664212704
31.475758478179955,37.79312560341371,51.52741109935513
31.230228120845197,37.700383998748265,50.811656798482865
30.680738552008485,37.155603045651915,50.463236179835086
31.309134697318587,37.06714887169403,49.913746646005016
30.840640500653716,36.795406667542366,49.71317587356644
30.057151992954743,36.34700044626321,49.133966653919074
29.41097906866087,36.240766347734464,48.70485452834391
29.588876537994885,35.99277413804024,48.44460181551601
28.939792338985207,35.51492083934149,47.806267428267226
29.310155979216045,35.15471431233273,47.56341426930932
29.070121219090048,35.190266418682384,46.475802262624676
28.73352635961956,34.85393368366203,45.82101704572853
28.781747321284648,34.39177828925456,45.975650977053114
27.799572407827178,35.249868467407524,45.868987035547335
27.017394765952258,34.878105644824096,44.60189880035422
27.576039654224303,34.42451410137979,44.32692845949584
27.000217605301618,34.76873121832184,42.93983441626803
