Notations cycliques des matrices de transition
Matrice 1,"(6,7)"
Matrice 2,"(5,7)"
Matrice 3,"(4,6,7)"
Matrice 4,"(6,8)"
Matrice 5,"(5,8)"
Matrice 6,"(4,6,8)"
Matrice 7,"(5,8)"
Matrice 8,"(5,7)"
Matrice 9,"(4,8,5)"
Matrice 10,"(5,7)"
Matrice 11,"(6,7)"
Matrice 12,"(4,7,5)"
Matrice 13,"(5,8)"
Matrice 14,"(6,8)"
Matrice 15,"(3,6)(4,8)"
Matrice 16,"(5,7)"
Matrice 17,"(6,7)"
Matrice 18,"(3,8,6)"
Matrice 19,"(5,8)"
Matrice 20,"(5,7)"
Matrice 21,"(3,5,8)"
Matrice 22,"(6,8)"
Matrice 23,"(6,7)"
Matrice 24,"(3,6,8)"
Matrice 25,"(5,8)"
Matrice 26,"(6,8)"
Matrice 27,"(3,6,4,8,5)"
Matrice 28,"(6,7)"
Matrice 29,"(5,7)"
Matrice 30,"(4,6,7)"
Matrice 31,"(6,8)"
Matrice 32,"(6,7)"
Matrice 33,"(4,7,5)"
Matrice 34,"(6,7)"
Matrice 35,"(5,7)"
Matrice 36,"(1,6,7,2,5)"
Matrice 37,"(2,3)"
Matrice 38,"(1,3)"
Matrice 39,"(1,4,7)"
Matrice 40,"(1,3)"
Matrice 41,"(1,4)"
Matrice 42,"(1,3,8)"
Matrice 43,"(2,3)"
Matrice 44,"(2,4)"
Matrice 45,"(1,6)(3,5)"
Matrice 46,"(5,7)"
Matrice 47,"(5,8)"
Matrice 48,"(4,5,7)"
Matrice 49,"(6,7)"
Matrice 50,"(5,7)"
Matrice 51,"(4,8,5)"
Matrice 52,"(6,8)"
Matrice 53,"(5,8)"
Matrice 54,"(4,7,5)"
Matrice 55,"(5,8)"
Matrice 56,"(6,8)"
Matrice 57,"(4,8,5)"
Matrice 58,"(5,7)"
Matrice 59,"(6,7)"
Matrice 60,"(3,6)(4,7)"
Matrice 61,"(5,8)"
Matrice 62,"(6,8)"
Matrice 63,"(3,7,6)"
Matrice 64,"(5,7)"
Matrice 65,"(5,8)"
Matrice 66,"(3,5,7)"
Matrice 67,"(5,8)"
Matrice 68,"(6,8)"
Matrice 69,"(3,5,8)"
Matrice 70,"(6,8)"
Matrice 71,"(5,8)"
Matrice 72,"(1,8,4)(2,7)"
Matrice 73,"(2,3)"
Matrice 74,"(2,4)"
Matrice 75,"(2,5,3)"
Matrice 76,"(2,4)"
Matrice 77,"(2,3)"
Matrice 78,"(1,3,5)"
Matrice 79,"(2,3)"
Matrice 80,"(2,4)"
Matrice 81,"(1,4,7)(2,8)"
Matrice 82,"(5,8)"
Matrice 83,"(5,7)"
Matrice 84,"(4,5,8)"
Matrice 85,"(5,7)"
Matrice 86,"(5,8)"
Matrice 87,"(3,5,7)"
Matrice 88,"(5,8)"
Matrice 89,"(5,7)"
Matrice 90,"(1,8,2,6)"
Matrice 91,"(2,3)"
Matrice 92,"(2,4)"
Matrice 93,"(1,8,4)"
Matrice 94,"(2,4)"
Matrice 95,"(1,4)"
Matrice 96,"(1,3,8)"
Matrice 97,"(1,4)"
Matrice 98,"(2,4)"
Matrice 99,"(1,8,4)"
Matrice 100,"(1,3)"
Matrice 101,"(2,3)"
Matrice 102,"(1,8,3)"
Matrice 103,"(2,3)"
Matrice 104,"(1,3)"
Matrice 105,"(1,8)(3,7)"
Matrice 106,"(2,4)"
Matrice 107,"(2,3)"
Matrice 108,"(1,3,7)"
Matrice 109,"(1,4)"
Matrice 110,"(2,4)"
Matrice 111,"(1,7,4)"
Matrice 112,"(2,4)"
Matrice 113,"(2,3)"
Matrice 114,"(2,7,4)"
Matrice 115,"(2,3)"
Matrice 116,"(2,4)"
Matrice 117,"(2,4,8)(3,7)"
Matrice 118,"(1,3)"
Matrice 119,"(2,3)"
Matrice 120,"(2,4,8)"
Matrice 121,"(1,4)"
Matrice 122,"(1,3)"
Matrice 123,"(1,4,8)"
Matrice 124,"(2,4)"
Matrice 125,"(2,3)"
Matrice 126,"(1,3,5,2,6)"
Matrice 127,"(5,7)"
Matrice 128,"(6,7)"
Matrice 129,"(3,6,8)"
Matrice 130,"(6,7)"
Matrice 131,"(5,7)"
Matrice 132,"(4,8,5)"
Matrice 133,"(5,7)"
Matrice 134,"(5,8)"
Matrice 135,"(1,7,5)"
Matrice 136,"(2,3)"
Matrice 137,"(2,4)"
Matrice 138,"(2,3,5)"
Matrice 139,"(1,3)"
Matrice 140,"(2,3)"
Matrice 141,"(2,5,4)"
Matrice 142,"(1,4)"
Matrice 143,"(1,3)"
Matrice 144,"(1,4,5)"
Matrice 145,"(1,3)"
Matrice 146,"(1,4)"
Matrice 147,"(2,5,4)"
Matrice 148,"(1,4)"
Matrice 149,"(1,3)"
Matrice 150,"(2,6)(4,5)"
Matrice 151,"(2,4)"
Matrice 152,"(1,4)"
Matrice 153,"(2,4,6)"
Matrice 154,"(2,3)"
Matrice 155,"(1,3)"
Matrice 156,"(2,6,3)"
Matrice 157,"(2,4)"
Matrice 158,"(2,3)"
Matrice 159,"(1,3,6)"
Matrice 160,"(1,4)"
Matrice 161,"(2,4)"
Matrice 162,"(2,4,5)(3,6)"
Matrice 163,"(1,3)"
Matrice 164,"(1,4)"
Matrice 165,"(1,5,3)"
Matrice 166,"(2,3)"
Matrice 167,"(1,3)"
Matrice 168,"(1,4,5)"
Matrice 169,"(1,3)"
Matrice 170,"(1,4)"
Matrice 171,"(1,7,2,4,8)"
Matrice 172,"(6,7)"
Matrice 173,"(5,7)"
Matrice 174,"(3,6,7)"
Matrice 175,"(6,8)"
Matrice 176,"(6,7)"
Matrice 177,"(4,6,8)"
Matrice 178,"(6,7)"
Matrice 179,"(6,8)"
Matrice 180,"(2,8,5)"
