old_gray_trotter_method,new_method
10.215117730092176,10.268864589244817
10.140490235665304,8.788906120901618
10.164978805930188,7.816711251825486
9.727506930885088,6.557963276035193
9.71346783733071,6.151344225502804
9.364659468754567,5.263791904602931
9.38324472719302,4.615016417604686
9.094587219272452,4.06424861205675
8.931484750288302,3.55543291308544
8.866981637572984,3.2519460505418936
8.678104445716862,2.903013440324744
8.427817846970889,2.563346714424523
8.09126855324168,2.384161728143263
8.089842279686232,2.241413210594584
7.886992280230054,1.9967943108712476
