"old_gray_trotter_method","new_method","instance"
0.483333333333347,0,"instance_1"
9.71830985915487,0,"instance_10"
4.95000000000003,1.50000000000001,"instance_100"
4.84810126582285,2.26582278481013,"instance_11"
0.955752212389394,0.637168141592936,"instance_12"
6.56296296296297,0.866666666666704,"instance_13"
6.68131868131863,1.26373626373621,"instance_14"
16.3783783783784,0.24324324324323,"instance_15"
8.96376811594206,0,"instance_16"
8.65555555555557,6.78888888888889,"instance_17"
8.2258064516129,0.881720430107524,"instance_18"
10.3673469387755,8.00000000000001,"instance_19"
5.14960629921259,2.92913385826774,"instance_2"
8.21794871794872,2.97435897435898,"instance_20"
1.51327433628321,1.00884955752212,"instance_21"
9.85714285714288,2.14285714285711,"instance_22"
12.621359223301,1.20388349514562,"instance_23"
7.76666666666663,0.816666666666688,"instance_24"
7.84782608695656,0.391304347826082,"instance_25"
8.86666666666671,0.516666666666654,"instance_26"
10.7333333333333,0.933333333333342,"instance_27"
2.85185185185182,3.11111111111109,"instance_28"
9.97260273972602,8.32876712328765,"instance_29"
6.13043478260864,1.21739130434781,"instance_3"
10.2857142857143,0.836734693877572,"instance_30"
3.13675213675215,1.40170940170938,"instance_31"
9.09230769230771,1.4846153846154,"instance_32"
11.2673267326733,7.31683168316832,"instance_33"
7.27184466019417,3.94174757281551,"instance_34"
3.93137254901961,1.90196078431371,"instance_35"
9.90322580645164,0.677419354838715,"instance_36"
4.46808510638299,0.893617021276594,"instance_37"
9.57333333333332,3.02666666666669,"instance_38"
9.89534883720928,0.965116279069789,"instance_39"
16.4545454545455,1.93506493506497,"instance_4"
11.792,0.415999999999994,"instance_40"
4.17525773195877,1.90721649484538,"instance_41"
5.25,3.11538461538461,"instance_42"
5.64705882352945,1.17647058823533,"instance_43"
3.6991150442478,1.6283185840708,"instance_44"
3.59574468085109,2.22340425531915,"instance_45"
21.3333333333333,2.22044604925031e-14,"instance_46"
5.95348837209302,5.39534883720927,"instance_47"
8.73033707865172,1.06741573033711,"instance_48"
6.13684210526315,3.22105263157897,"instance_49"
2.9859154929577,3,"instance_5"
2.00000000000002,1.40000000000002,"instance_50"
2.24000000000004,1.40000000000002,"instance_51"
5.70270270270274,1.39189189189188,"instance_52"
7.18604651162791,0.90697674418605,"instance_53"
9.67213114754097,1.24590163934426,"instance_54"
10.8793103448276,0.913793103448279,"instance_55"
10.4111111111111,8.84444444444443,"instance_56"
5.11304347826087,3.06956521739128,"instance_57"
6.17525773195875,1.05154639175258,"instance_58"
15.1584158415842,0.742574257425743,"instance_59"
7.55681818181819,1.29545454545452,"instance_6"
15.8021978021978,0.736263736263765,"instance_60"
3.98630136986298,1.36986301369861,"instance_61"
11.6769230769231,0.523076923076937,"instance_62"
9.98969072164946,7.03092783505155,"instance_63"
1.26666666666666,-1.11022302462516e-14,"instance_64"
9.95412844036696,0.256880733944942,"instance_65"
7.50819672131147,1.87704918032787,"instance_66"
3.40540540540542,2.21621621621624,"instance_67"
5.55172413793104,4.8045977011494,"instance_68"
15.0357142857143,0.535714285714328,"instance_69"
2.32894736842102,0.907894736842096,"instance_7"
4.69791666666666,1.40624999999999,"instance_70"
1.67368421052629,2.22044604925031e-14,"instance_71"
8.56488549618322,2.65648854961833,"instance_72"
15.8632478632479,0.444444444444425,"instance_73"
15.4959349593496,0.195121951219512,"instance_74"
5.77966101694918,0.728813559322039,"instance_75"
9.84946236559139,1.02150537634407,"instance_76"
19.3939393939394,2.22044604925031e-14,"instance_77"
5.07142857142855,1.64285714285712,"instance_78"
5.98039215686272,3.09803921568628,"instance_79"
2.4285714285714,2.0285714285714,"instance_8"
12.8571428571429,1.47619047619048,"instance_80"
6.0408163265306,1.63265306122451,"instance_81"
7.8974358974359,0.641025641025639,"instance_82"
11.8072289156627,8.02409638554218,"instance_83"
6.10909090909093,1.45454545454546,"instance_84"
4.78301886792456,3.59433962264151,"instance_85"
8.44444444444445,6.86324786324788,"instance_86"
15.3894736842105,-1.11022302462516e-14,"instance_87"
13.3516483516483,0.60439560439558,"instance_88"
8.61764705882353,3.38235294117646,"instance_89"
4.50909090909093,1.16363636363637,"instance_9"
4.82926829268291,2.65853658536586,"instance_90"
3.75384615384613,3.12307692307692,"instance_91"
8.49295774647885,0.535211267605673,"instance_92"
10.2916666666666,0.29166666666669,"instance_93"
10.6296296296297,0.51851851851854,"instance_94"
4.07692307692304,1.93406593406593,"instance_95"
18.952380952381,3.80952380952382,"instance_96"
2.17073170731708,1.56097560975612,"instance_97"
7.73809523809526,4.28571428571429,"instance_98"
1.65853658536579,0.829268292682928,"instance_99"
