new_method_p_layer_circuit,old_gray_trotter_method
124.04836019799572,136.00740079900643
123.97726582367588,135.93920491332221
123.77381133690268,135.7478587122928
123.44059344892344,135.44162751473706
123.11297861031224,135.49413765556633
122.9365178298977,135.30199638591475
122.60875340557328,135.17588332616944
122.33827384107784,135.05533982686615
122.30442596504648,134.90771535367625
121.98403123376816,134.62630174482211
121.8438916811691,134.80390708477128
121.773892495093,134.4565869979491
121.51815066246101,134.2587841307405
121.29158699939995,134.1504913833818
121.22681702831636,134.01537684780297
120.85198486462971,133.75086548551127
120.72911465781695,133.70924084189903
120.71069747766917,133.53395759225478
120.67142840437388,133.35612098138458
120.22384739579721,133.27386949430448
120.19510238302611,133.19439196795403
119.89342746397,133.1710509742787
119.68145945923484,133.0861181853509
119.2154773270138,132.92981112024407
119.12935134015183,132.939317118162
118.87079223349588,132.95945668874845
118.8025072478562,132.796383927548
118.83377088005525,132.62599674182763
118.67636281167346,132.4763606983498
118.42713548193747,132.35792759447165
118.37957031308834,132.15899550703926
118.20459319319518,132.06730371701252
117.986896167847,132.02177019970392
117.831464496805,132.01128839197898
117.76715483048105,131.98998317899023
117.50186939620954,131.8987260216002
117.5190044809022,131.8734548475078
117.3201961575066,131.72418961215985
117.12797616537952,131.6420307770938
116.98426456543963,131.6616410173269
116.66654986629104,131.632076654636
116.61355249053918,131.615423166673
116.43017528854158,131.63116972075753
116.29456876097174,131.52757847373485
116.23426818040417,131.4029035063444
116.12047305156764,131.4387940779277
115.80305325823697,131.38453840861132
115.61878230048801,131.18479371451832
115.46242179045723,130.9296606352438
115.33909559718377,130.8838665413546
115.19893411309285,130.918885662066
115.13767993930394,130.8814236989298
115.00319196457531,130.65195318992642
114.85807251279147,130.6633019799529
114.72964483193375,130.5692702311365
114.50803226907965,130.4612817027291
114.31163700231517,130.43774010846386
114.14724754457477,130.28896630434895
114.04663988761746,130.31290699856925
113.9943294719378,129.99871040619786
113.83859146612807,129.92836779291284
113.80161180249412,129.97584419670687
113.81252306715393,129.84660259495317
113.74955381143586,129.8777836088559
113.63923764733421,129.61331867620126
113.606385325157,129.62149172613687
113.65376440506915,129.5996047120915
113.5440700354048,129.4882771928791
113.43771693413991,129.37502949298093
113.28683735586235,129.3172246631482
113.26537575630644,129.09975746343852
113.10873891075298,129.14973353216283
113.0981945316844,129.17787180280052
113.07367944202338,129.0951239104391
112.89237176440663,128.9121048558983
112.64748159849992,128.97476724065135
112.62895653168047,128.92675634027358
112.60295215184867,128.79081929603683
112.42292391365663,128.80628031566465
112.34948376654437,128.59093063142254
112.30617192113579,128.59126328899015
112.31192546053833,128.57543758374806
112.04712178946289,128.53073510147786
111.8459026033912,128.5061138511496
111.82180096738527,128.39645188996067
111.77776222637154,128.36560942359463
111.62176018992497,128.36238645971986
111.62299545972499,128.35875888189003
111.61652757359721,128.33315083946118
111.52438974672046,128.33972263152012
111.4450188776056,128.32616007635772
111.3079534932359,128.15040496215227
111.3154322110536,128.12062225881184
111.1205106512101,128.05031451263142
110.98644614072917,128.06144730445405
110.92987844152029,127.77209842417408
110.92483591385219,127.72538862272218
110.91308798894903,127.66144274267012
110.90233135578062,127.6198957182411
110.81953372712648,127.60438508221812
110.72409016628531,127.59618127117446
110.74368124045989,127.6116503646345
110.64609866169707,127.55793864333127
110.58308466186115,127.45704651369105
110.54088095465427,127.4435987801855
110.5015183812499,127.44055761521395
110.49177799396662,127.32918792723201
110.37277151904415,127.39554057541031
110.33032347284964,127.41066465986268
110.22926352651054,127.37034785150021
110.29088947515729,127.21294359159492
110.27886114604513,127.24582097068354
110.14952312320915,127.24182197641011
110.12206077988867,127.17606298172677
110.13084948579798,127.18503095402947
110.15219393229813,127.11785305666443
109.99412174046202,127.15468578064853
109.99948318295705,127.0550946433008
109.96864572102895,126.99849661176694
109.89401515150695,127.00575497985957
109.77566362892391,127.03481895334124
109.83542193002498,126.95989740894213
109.67774388168915,126.90213575178473
109.72215004795108,126.95750618465631
109.67118580401494,127.00591018783284
109.65625137044698,126.82913439920104
109.66076949739748,126.84268887532315
109.6452042521749,126.8504991021084
109.58889598644107,126.88851603674583
109.525928752927,126.79931470106975
109.49908258806941,126.67404934466
109.44874379617431,126.71285687856076
109.38864670948915,126.68356662622804
109.34119389203705,126.62270746323749
109.29739611264407,126.61875701631018
109.27133781540333,126.57373646573205
109.21715093898638,126.55539882666734
109.16319927799796,126.5921330238759
109.16318353406255,126.40005728910789
109.12554683048128,126.3754822506615
109.01147739711794,126.36668795803342
109.01022987130823,126.31989975698508
109.08706788127074,126.307029737606
108.97884541732664,126.31202731569894
108.93532847292677,126.27260397848188
108.86982048808063,126.25021765629934
108.97703256915652,126.2117251665864
108.91317922996545,126.07379974973304
108.8504578517484,126.0884615434402
108.8740922440419,126.06555825146305
108.85984044653874,126.01012892406675
108.8240527222597,125.95548837865974
108.70457366481261,125.89037779231266
108.74016081176501,125.9192840079759
108.72815453941152,125.88995498059494
108.73496866189815,125.86022914997267
108.71360791257686,125.82956155768646
108.63676233515807,125.80374298134127
108.6485935226335,125.76706083632507
108.64444323525468,125.70959661190703
108.6760957787185,125.6167261301943
108.63758727536329,125.66643824577844
108.57896558168545,125.67515615877004
108.57088190798316,125.64786681942229
108.51516603605823,125.6189810953283
108.56532156594977,125.59653349316156
108.51826701096245,125.52593183399757
108.45625151562896,125.45307399935822
108.41611221629816,125.46635090658614
108.45987067516083,125.46782095916741
108.48261739302534,125.47601821870278
108.40992607826423,125.40244983789775
108.35247756802185,125.40273385008848
108.40573474459943,125.38011014195065
108.37719077860166,125.34830485527935
108.3199649025018,125.30369990680431
108.31009221593604,125.35680652266585
108.28779250147255,125.28794536403079
108.28775514677493,125.21085681163994
108.2727265133922,125.26433604964758
108.19708908082285,125.19386838594157
108.2993451176169,125.17054037489305
108.24543589767023,125.16173313209269
108.2859820920593,125.0946718381945
108.22721718059937,125.10084896986844
108.2590071026333,125.11829360440844
108.18514075906306,125.09582725003615
108.23175572990814,125.03197471746817
108.17669474713547,125.05345686925679
108.13291110498476,125.05794073834718
108.20789839686859,125.00016063429015
108.1984798928968,124.99901795968285
108.17838855143951,124.94747556455651
108.1818238715692,124.86403836111332
108.13594439059213,124.87674820564276
108.19447300801785,124.88073731237309
108.12185094076763,124.83465300195695
108.0926429730079,124.83832647457416
108.15338332291405,124.83444848815239
108.10417993928398,124.81696831530924
108.09582049683635,124.7868132813463
108.12512670658087,124.725657960588
108.07173193399257,124.74154026663025
108.13140520473492,124.71275396629949
108.07767651492298,124.64369406798191
108.06207167479734,124.68107926043123
108.08086065529442,124.67859262554128
108.01995490030482,124.6201382670515
108.00126047377074,124.59082956089716
108.0119923674483,124.60114623201366
108.01596167203215,124.55729814256546
108.02058512264004,124.52183116222788
108.06559696428417,124.55165435807528
